tokens,target
DECEEBCCC,12.028409534988958
CEBDBDEADB,16.605257642403263
EDAACCBD,13.236039450782371
DACECE,11.449345082361795
BDA,8.03301398837393
DDDECA,13.187486458436695
BDBBDE,9.20256662333104
DAEEBEBADD,18.485684140594984
EAEEAA,18.62439473068985
CACEB,8.643874229796678
BADADBAEC,16.87958902319464
ACECA,12.318976471612444
BCABBDE,11.21810168191244
DED,6.6099560409934695
EECEDECC,13.125724165762403
DDDDDCBD,11.579093326466014
AAA,11.325305013383495
CAEACBDC,12.365463607315965
ADAABDDB,12.870836439740879
ACABBDEAAC,20.72870782435957
BEDBDCCA,13.474086078325152
BCAADC,13.025341192799672
ECDDCDCB,9.099668284466933
DAABACDAAB,21.234281487403013
BCDBADDAB,16.50024280388105
AACCCDADC,16.07621043112963
DDC,5.283447035393544
EBB,2.917749782919048
CEAD,9.512659164886339
DCAADCC,13.250685159014084
ECCCBEAD,15.050060291061929
ECDCAA,15.36383664239908
DEECDA,13.602864269525979
ECDADEEA,19.67079540297436
CBABBCBBCB,8.778893680174141
ACE,7.61372559651745
BCBA,7.633524432478138
ADEDADCDB,14.653228791829042
CABE,8.324916858169798
DBC,3.7371203507023276
EAEDDD,11.801483350808098
DCDEBDB,8.965372151933845
CACDBBEB,9.489090461121622
BABA,10.830650865304078
EEAEEECDBC,15.581304019396665
BEDA,11.436002840236153
EBBEDBDB,9.404254451153422
EED,8.17399846422516
BADCDDBCDA,18.366516687328133
DCAABCD,11.452527528810178
EDBECBC,9.043677105393618
BBBBCAD,10.354387818901266
EBEC,6.6810069559712355
EADBEAC,14.433514209875005
CDB,3.9127371836349973
EDAEACAAA,24.79182924263835
DAECCADD,15.946020944866298
DCBEECDAD,17.04884848731427
EDEAE,13.362259158187276
BDABB,7.63764662483411
AEEBAB,10.209173037192727
EADAAEDDDC,19.53950450712203
DCBBCCE,9.133600574860948
DDEA,11.10567068053993
ACEDADAAA,25.22315735201632
DCCDABA,14.720581914676611
AEC,6.611200698851912
EBDDBB,6.821487896573885
BDDEAD,12.376980074801224
EDEECE,12.18123822940265
BCEABBBC,9.964720060360644
ACEBACCAEA,22.36541217394765
ACAE,11.002621849859091
EEBBCAE,13.309204582596658
AACEEDAA,19.260915393181723
CBDAD,10.265868469025245
CAAEEBC,12.354603408042648
BBBBCC,5.162179014021134
BDAADBCAE,18.56933153572793
BAD,8.043169822105206
EBEBEC,8.090349775235035
ACDDACCCE,15.901747202241486
BEBCCEEBDB,12.646484820022721
BABE,7.4823788387903125
ABAAC,12.425677132300255
CED,6.023151472065557
BDBEBCCCC,9.624976837249076
CCAE,10.039741225908768
BAABDA,14.442444699598882
BCAEBD,10.788615394518875
BADCBAEDB,13.959065406907909
EEAAE,15.097700567855211
EDCACCED,14.648742102239158
ACABCBCED,13.517046474587174
BDCDADA,17.35206159429523
ECDECCAB,13.257977634677216
BEBDBEBDAE,18.994939136109164
AEDDB,7.697792760934144
ECABDCCA,15.119022039689375
ECAEDCEEEC,19.2900670475376
BDAEB,9.800606961081971
CEAAAAABE,22.46262898015589
CCCCBDEADC,16.35630248803943
EEC,6.2019102793396526
ADBBECBAE,15.642840310131094
EEDDEBC,9.939189570680275
CCDDBCCED,12.11063987554786
BCDBEBAAD,18.636911044633482
DDDDE,10.108430518491469
ADBA,9.971058332656737
CEACAEEB,17.019345550868742
AEABDAE,16.690547762125323
ACDA,9.972125012064186
ACCDC,6.20768217760895
ADEAA,15.240848291914626
DBEA,10.702943805745251
ADAADDEAA,23.675678787287946
CCEAE,11.594019410174958
CBACBBD,8.57525963608134
DAECB,6.215897350320059
CBDA,9.717839196573731
ACC,5.969110880830413
EAECCADBC,14.740265287395136
CDDEEBBAEC,16.52979311271605
ECDEDBBAED,18.00255108114983
DDEEA,13.146281357046009
EDCD,7.083207574381444
ABCAA,13.112010095854167
BEAACDBBEE,17.551512633388892
BEBDABAE,17.325712687232365
BDE,7.143600055916272
EBE,6.785247317630569
BED,5.790647579596776
DCAC,8.977463904162834
DCBEECC,10.956370245564354
CBEABDDCC,12.669222216678977
CACECB,8.426605371768519
AAA,13.149234430867416
ECB,3.2681909487793916
EDDC,6.712114586389273
BDCEDCCA,14.090326055431298
CEAEABAD,18.136877390495663
CBAEBBABE,14.02375656349466
EACBCEBDC,11.971361578211091
CBAC,7.072112625293714
ECBDA,11.970939170134958
EAEBAE,13.658601547620572
CBBCEEBCC,11.4038628415404
DEAEEDADA,22.332804294855173
DEAACEBDB,14.837803349669962
EAAEAAAD,23.242161199238293
CEBADDCD,13.393005577887246
ECEBCBA,11.402715451073332
EEAAC,12.522261440419873
BAECBC,8.73128658575707
CCEEAADEBC,18.7242654692538
CCD,4.697686110699135
DBAA,11.734524676034033
CCBDCEB,9.132676729880812
EDEEABEECB,16.219438803961474
BCEEA,12.720011368842522
DACCAECEAE,22.45277716018863
DCDE,7.814838315701352
BDBEEDBE,12.458220506360366
CAAABDEC,15.179530715167388
BABDDEEDD,15.887006438699093
DBDCADABAB,19.410200981841054
EDECAC,11.630062861768307
BBBBE,6.044476136304851
ECDBDCC,9.440099714828557
ADDEE,10.4766137827643
DBEC,5.966665293744947
AADBDCDAAE,22.45385777062481
BDCEDEDB,12.486270040145039
DAADD,11.320864401638323
DEE,7.508617732448403
CEAE,10.913482560651541
CEAADACC,16.280920154949865
AADADDABBD,17.331251366624738
EAE,8.943096330170663
BBBBBB,3.5508820364938125
CECCAAABDB,17.562984092876025
DCCDDB,7.616255171574063
ADBCBDDEA,17.74928241943254
CBCDEEE,13.416394132440937
BCEA,11.321135179305932
CDBCC,5.593843440632569
ADAEBEDED,16.516241733950096
DDDBAC,9.88576323596893
BDBBDBC,8.000868551265068
BEDCE,9.823163442898727
CBD,4.269927584381822
BDBEEEADEA,22.85713120660583
CAA,10.804429105400931
BCEEAD,12.722050674755053
BEBDA,10.663802014750097
EDC,4.685082449592919
EEDEA,12.643702249580592
DDD,5.741775529139092
BAEDBEAC,15.522121927111886
EECEAACD,17.319671296810633
CBD,4.5596007792440005
DEDBBDBE,10.888284576297464
EBABCBBBAB,11.974643231327455
ADCADAACEE,21.774529821052365
BAAA,14.221731920932683
EAE,10.140188967862658
BEDCBB,6.393433817423657
ACECAAE,17.166148170838113
ECDEAAAAC,22.279974558702854
BCCBBA,9.824216076829131
BDEEBADEBE,17.63758430824569
DDCBDCCEE,14.601686517115605
DCC,4.473929045318021
DEECBEDED,15.816764862196838
CBDBBA,9.770088592664928
DBACDBE,11.137953842030013
BEB,3.552245298927451
DDDADEBCEE,17.858029094558734
BBA,7.200596108163445
BABCEDB,10.203492520139964
BABCDBABE,14.784326873654596
ACDBAEAEC,19.259717336175232
AEEA,13.605261500795676
ABCEBCBE,11.238191976731052
DCDBBEDEA,17.88535790157501
CAACAD,15.285941644122632
EDCEBC,8.05920041367397
DEBCBDBA,12.49386086144384
DBDEEE,12.390033364969636
ABADADDCE,17.29001755449739
EDBAEDDB,13.3946578059273
DABEBAE,14.104127025677826
CCD,4.64065903727836
BDBCCDED,12.290914679273783
BCDAE,11.550555173404428
BCBCB,4.243657487004282
ABAE,10.773345802885656
ADAEDCCA,17.130139505266037
EBDA,10.248906359132015
DEDDDEDBE,15.25276082033119
CBDCCEC,9.460501910226021
BABC,6.3229589128969055
ACACEADCD,18.02048808992288
DDA,8.633623185155002
DDDBEDE,12.220592616416534
CDEEE,11.18505476304885
EEBBE,7.712843147482626
EEB,4.502946883478904
CEDEBD,9.651197168088855
DDBC,4.314049428534322
BEBEAAAA,22.193219301061628
ABD,5.567764323718414
BDED,7.560121330009879
BCAAD,12.90543112018592
DAEEACA,18.077599602908645
CCAEDEB,12.403595351914989
CCDCCB,6.49087501739974
EBDAAAB,15.569308148821628
AAB,6.559769017588797
BBEDDCBEE,14.353826728221305
DBCBABAACD,19.314736964615733
ABDD,7.139373188207114
AECBADAB,15.11159335005554
EEDCCAD,13.914129690162035
BCDEC,7.674321553104085
EACCEDA,15.403096616790313
BADE,9.739044998313728
ADCBB,5.530331416575204
CCBAEADDBB,14.599746019862529
DAAB,9.63691637182114
CCEBDEDDBC,14.061087514400842
EEEB,6.237171842714953
EDA,9.964625385046926
DECEBDDBB,10.29126771405879
ACEDB,7.832796922841589
EDCEDAAB,16.333681562850273
CCADEA,15.24770874561479
DDC,5.425046994658405
EADE,10.68785793120049
BCEC,6.320443123455602
CECBCBC,6.258637460075717
EEDAEBE,14.597465226083706
BCAADADD,18.589015742617395
ADADED,12.856302459460172
BBAEDAED,17.02319769349015
CDBBCAEDBA,18.115601606648926
BCDEBBDAE,16.277700270256243
EBEC,6.08112600920312
CCA,8.305404916877388
DAEAABE,16.061275640172404
AAEEBDBCA,15.817096003715031
AABBABEEB,13.88229814734153
BCED,7.575095190365377
DCBCCAEDBD,15.561335157997398
EDDCEABDBA,19.11233922923478
BACDABDCD,13.453536767929936
CECCD,7.281273299643127
DDAD,9.278308475315033
BBD,3.4380492665674534
DBCECC,7.999279000613396
EDCEDCADCA,20.098175768379
EEEEBDDBC,12.815915248004597
DBB,3.9614484876759732
ECEDEADB,14.76799247036123
CBD,4.118911865518114
AEBCDD,8.854688062286145
BAECDB,9.080781506719994
CBB,1.76226800861766
AEDCCCADEB,17.507439280562107
CDAD,9.793346900737637
CDBAECAEE,19.429214838355406
DDDAACDE,17.26610382144497
CCCCBDEC,11.248280047840534
CDAAB,11.270434611240674
DEACDA,15.109042194048323
CDEEDA,13.557399973989442
ECACA,12.65186627824556
CDDBAE,12.951234611250891
EADCCBEEE,16.21833652809693
DECDAEEAEA,25.987598814891214
AEDDACBDEE,18.650547084969922
DAECD,9.594255161133237
DECDBB,6.861026728192221
AAABA,14.053089383911106
CDBAA,12.765223910469333
